Geneid	AEC.mock.I	AEC.mock.II	AEC.mock.III	AEC.WSN.I	AEC.WSN.II	AEC.WSN.III	AEC.WSN.PP1.I	AEC.WSN.PP1.II	AEC.WSN.PP1.III	AM.mock.I	AM.mock.II	AM.mock.III	AM.WSN.I	AM.WSN.II	AM.WSN.III	AM.WSN.PP1.I	AM.WSN.PP1.II	AM.WSN.PP1.III
ENSMUSG00000000001	1245	1169	2331	674	717	800	2801	1425	1301	2576	2808	1040	425	545	1129	976	672	973
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	16	19	38	21	12	6	63	33	30	11	21	32	14	11	25	25	8	15
ENSMUSG00000000031	54	43	79	26	26	40	264	120	90	19	23	27	5	1	11	14	16	8
ENSMUSG00000000037	1	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000049	12	10	0	8	1	7	6	16	8	4	1	3	3	1	0	1	0	0
ENSMUSG00000000056	370	325	738	102	99	99	408	198	199	72	95	91	23	33	3	1	6	9
ENSMUSG00000000058	842	756	1710	544	581	648	1143	550	482	305	337	292	136	133	804	458	422	518
ENSMUSG00000000078	1424	1296	2796	748	721	794	2276	1046	1091	7072	8264	3102	851	1047	3092	896	760	1322
ENSMUSG00000000085	484	484	1055	159	155	190	710	349	355	49	105	102	55	67	50	43	21	51
ENSMUSG00000000088	797	768	1263	606	706	706	2412	1352	1436	1771	2156	2175	1874	2108	1390	958	920	1106
ENSMUSG00000000093	42	48	58	36	32	43	58	43	39	0	0	1	1	3	0	0	0	0
ENSMUSG00000000094	41	37	61	51	34	56	161	77	73	0	0	0	0	1	0	0	1	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	9	8	13	3	5	1	0	2	0	0	1	0	0	0	1	0	1	3
ENSMUSG00000000125	1	2	1	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	1318	1313	2695	102	101	99	478	239	232	4	4	3	3	0	3	0	0	4
ENSMUSG00000000127	238	254	483	153	148	179	677	390	333	258	363	322	81	96	141	110	41	77
ENSMUSG00000000131	673	623	1291	460	446	454	518	260	209	1010	1689	687	419	522	566	325	237	358
ENSMUSG00000000134	424	392	883	266	263	298	1088	509	478	835	1839	1063	266	327	370	181	106	196
ENSMUSG00000000142	81	65	146	94	84	107	54	24	23	0	6	4	2	1	8	1	3	7
ENSMUSG00000000148	132	129	284	35	37	40	122	57	48	50	141	104	23	37	23	8	4	11
ENSMUSG00000000149	839	817	1423	614	655	707	629	338	329	418	855	1313	388	401	375	252	243	305
ENSMUSG00000000154	61	55	100	14	9	20	94	43	43	16	26	7	7	10	22	24	17	17
ENSMUSG00000000157	2	0	2	0	0	2	1	1	0	0	1	0	0	0	1	0	0	0
