cell_type,biological_question,contrast,gene_label,gene_id,regulation,log2FoldChange,abs_log2FoldChange,padj,biotype,chromosome,description
AEC,Infection response,WSN vs mock,Isg15,ENSMUSG00000035692,Upregulated,7.544,7.544,0.00e+00,protein_coding,4,ISG15 ubiquitin-like modifier
AEC,Infection response,WSN vs mock,Ifit3,ENSMUSG00000074896,Upregulated,7.373,7.373,0.00e+00,protein_coding,19,interferon-induced protein with tetratricopeptide repeats 3
AEC,Infection response,WSN vs mock,Gbp2,ENSMUSG00000028270,Upregulated,7.04,7.04,0.00e+00,protein_coding,3,guanylate binding protein 2
AEC,Infection response,WSN vs mock,Gm46878,ENSMUSG00000120951,Upregulated,6.883,6.883,0.00e+00,lncRNA,4,46878
AEC,Infection response,WSN vs mock,Irf7,ENSMUSG00000025498,Upregulated,6.39,6.39,0.00e+00,protein_coding,7,interferon regulatory factor 7
AEC,Infection response,WSN vs mock,Art3,ENSMUSG00000034842,Upregulated,6.317,6.317,0.00e+00,protein_coding,5,ADP-ribosyltransferase 3
AEC,Infection response,WSN vs mock,Oasl2,ENSMUSG00000029561,Upregulated,5.881,5.881,0.00e+00,protein_coding,5,2'-5' oligoadenylate synthetase-like 2
AEC,Infection response,WSN vs mock,Cxcl10,ENSMUSG00000034855,Upregulated,5.823,5.823,0.00e+00,protein_coding,5,C-X-C motif chemokine ligand 10
AEC,Infection response,WSN vs mock,Ifit2,ENSMUSG00000045932,Upregulated,5.125,5.125,0.00e+00,protein_coding,19,interferon-induced protein with tetratricopeptide repeats 2
AEC,Infection response,WSN vs mock,Usp18,ENSMUSG00000030107,Upregulated,5.102,5.102,0.00e+00,protein_coding,6,ubiquitin specific peptidase 18
AEC,Infection response,WSN vs mock,Ccl2,ENSMUSG00000035385,Upregulated,4.933,4.933,0.00e+00,protein_coding,11,C-C motif chemokine ligand 2
AEC,Infection response,WSN vs mock,Ccl7,ENSMUSG00000035373,Upregulated,4.831,4.831,0.00e+00,protein_coding,11,C-C motif chemokine ligand 7
AEC,Infection response,WSN vs mock,Lgals3bp,ENSMUSG00000033880,Upregulated,3.958,3.958,0.00e+00,protein_coding,11,"lectin, galactoside-binding, soluble, 3 binding protein"
AEC,Infection response,WSN vs mock,Tor3a,ENSMUSG00000060519,Upregulated,3.883,3.883,0.00e+00,protein_coding,1,"torsin family 3, member A"
AEC,Infection response,WSN vs mock,Rnf213,ENSMUSG00000070327,Upregulated,3.806,3.806,0.00e+00,protein_coding,11,ring finger protein 213
AEC,Infection response,WSN vs mock,Vcam1,ENSMUSG00000027962,Upregulated,3.79,3.79,0.00e+00,protein_coding,3,vascular cell adhesion molecule 1
AEC,Infection response,WSN vs mock,Bst2,ENSMUSG00000046718,Upregulated,3.644,3.644,0.00e+00,protein_coding,8,bone marrow stromal cell antigen 2
AEC,Infection response,WSN vs mock,Irgm1,ENSMUSG00000046879,Upregulated,3.329,3.329,0.00e+00,protein_coding,11,immunity-related GTPase family M member 1
AEC,Infection response,WSN vs mock,mt-Rnr1,ENSMUSG00000064337,Upregulated,2.953,2.953,0.00e+00,Mt_rRNA,MT,mitochondrially encoded 12S rRNA
AEC,Infection response,WSN vs mock,Ifitm3,ENSMUSG00000025492,Upregulated,2.93,2.93,0.00e+00,protein_coding,7,interferon induced transmembrane protein 3
AEC,Infection response,WSN vs mock,Gprc5a,ENSMUSG00000046733,Downregulated,-2.797,2.797,0.00e+00,protein_coding,6,"G protein-coupled receptor, family C, group 5, member A"
AEC,Infection response,WSN vs mock,mt-Rnr2,ENSMUSG00000064339,Upregulated,2.417,2.417,0.00e+00,Mt_rRNA,MT,mitochondrially encoded 16S rRNA
AEC,Infection response,WSN vs mock,B2m,ENSMUSG00000060802,Upregulated,2.101,2.101,0.00e+00,protein_coding,2,beta-2 microglobulin
AEC,Infection response,WSN vs mock,Samd9l,ENSMUSG00000047735,Upregulated,3.477,3.477,8.16e-298,protein_coding,6,sterile alpha motif domain containing 9-like
AEC,Infection response,WSN vs mock,Lgals9,ENSMUSG00000001123,Upregulated,3.173,3.173,8.31e-288,protein_coding,11,"lectin, galactose binding, soluble 9"
AEC,Infection response,WSN vs mock,Ifit1,ENSMUSG00000034459,Upregulated,7.162,7.162,4.32e-263,protein_coding,19,interferon-induced protein with tetratricopeptide repeats 1
AEC,Infection response,WSN vs mock,Stat1,ENSMUSG00000026104,Upregulated,5.002,5.002,1.50e-260,protein_coding,1,signal transducer and activator of transcription 1
AEC,Infection response,WSN vs mock,Cmpk2,ENSMUSG00000020638,Upregulated,7.655,7.655,1.40e-245,protein_coding,12,cytidine/uridine monophosphate kinase 2
AEC,Infection response,WSN vs mock,Igtp,ENSMUSG00000078853,Upregulated,6.541,6.541,1.07e-244,protein_coding,11,interferon gamma induced GTPase
AEC,Infection response,WSN vs mock,Ube2l6,ENSMUSG00000027078,Upregulated,3.788,3.788,4.42e-244,protein_coding,2,ubiquitin-conjugating enzyme E2L 6
AEC,Infection response,WSN vs mock,Mab21l4,ENSMUSG00000034159,Downregulated,-2.584,2.584,1.85e-243,protein_coding,1,mab-21-like 4
AEC,Infection response,WSN vs mock,Irgm2,ENSMUSG00000069874,Upregulated,5.548,5.548,8.95e-242,protein_coding,11,immunity-related GTPase family M member 2
AEC,Infection response,WSN vs mock,Xdh,ENSMUSG00000024066,Upregulated,3.835,3.835,2.90e-240,protein_coding,17,xanthine dehydrogenase
AEC,Infection response,WSN vs mock,Rab11fip1,ENSMUSG00000031488,Downregulated,-2.843,2.843,6.49e-240,protein_coding,8,RAB11 family interacting protein 1 (class I)
AEC,Infection response,WSN vs mock,Krt19,ENSMUSG00000020911,Downregulated,-2.048,2.048,8.49e-238,protein_coding,11,keratin 19
AEC,Infection response,WSN vs mock,Parp14,ENSMUSG00000034422,Upregulated,3.703,3.703,8.00e-235,protein_coding,16,"poly (ADP-ribose) polymerase family, member 14"
AEC,Infection response,WSN vs mock,Xaf1,ENSMUSG00000040483,Upregulated,4.882,4.882,2.03e-211,protein_coding,11,XIAP associated factor 1
AEC,Infection response,WSN vs mock,Ifi202b,ENSMUSG00000026535,Upregulated,2.81,2.81,7.00e-210,protein_coding,1,interferon activated gene 202B
AEC,Infection response,WSN vs mock,Ifi44,ENSMUSG00000028037,Upregulated,6.183,6.183,1.54e-209,protein_coding,3,interferon-induced protein 44
AEC,Infection response,WSN vs mock,Cd274,ENSMUSG00000016496,Upregulated,6.659,6.659,3.02e-203,protein_coding,19,CD274 antigen
AEC,Infection response,WSN vs mock,Ifih1,ENSMUSG00000026896,Upregulated,3.433,3.433,1.70e-199,protein_coding,2,interferon induced with helicase C domain 1
AEC,Infection response,WSN vs mock,Hmox1,ENSMUSG00000005413,Upregulated,2.101,2.101,1.52e-190,protein_coding,8,heme oxygenase 1
AEC,Infection response,WSN vs mock,Ifi47,ENSMUSG00000078920,Upregulated,4.465,4.465,6.12e-189,protein_coding,11,interferon gamma inducible protein 47
AEC,Infection response,WSN vs mock,Adgrg1,ENSMUSG00000031785,Downregulated,-2.0,2.0,1.93e-186,protein_coding,8,adhesion G protein-coupled receptor G1
AEC,Infection response,WSN vs mock,Ifit3b,ENSMUSG00000062488,Upregulated,8.138,8.138,1.53e-182,protein_coding,19,interferon-induced protein with tetratricopeptide repeats 3B
AEC,Infection response,WSN vs mock,Ctr9,ENSMUSG00000005609,Downregulated,-2.411,2.411,9.52e-181,protein_coding,7,"CTR9 homolog, Paf1/RNA polymerase II complex component"
AEC,Infection response,WSN vs mock,Rigi,ENSMUSG00000040296,Upregulated,2.57,2.57,3.02e-179,protein_coding,4,RNA sensor RIG-I
AEC,Infection response,WSN vs mock,Lurap1l,ENSMUSG00000048706,Downregulated,-3.326,3.326,4.82e-173,protein_coding,4,leucine rich adaptor protein 1-like
AEC,Infection response,WSN vs mock,Lif,ENSMUSG00000034394,Upregulated,2.229,2.229,2.71e-169,protein_coding,11,leukemia inhibitory factor
AEC,Infection response,WSN vs mock,Sp100,ENSMUSG00000026222,Upregulated,4.865,4.865,2.07e-165,protein_coding,1,nuclear antigen Sp100
AEC,Infection response,WSN vs mock,Egr1,ENSMUSG00000038418,Upregulated,3.093,3.093,7.75e-161,protein_coding,18,early growth response 1
AEC,Infection response,WSN vs mock,Rdh10,ENSMUSG00000025921,Downregulated,-2.892,2.892,2.16e-159,protein_coding,1,retinol dehydrogenase 10 (all-trans)
