"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Gene.stable.ID.version"	"Gene.name"	"Gene.type"	"Gene.end..bp."	"Gene.description"	"Gene.start..bp."	"Transcript.stable.ID"	"Transcript.stable.ID.version"
"ENSMUSG00000000555"	6808.97874703641	-1.97298200755538	0.051715395682849	-38.1507669332152	0	0	"ENSMUSG00000000555.9"	"Itga5"	"protein_coding"	103275190	"integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]"	103252713	"ENSMUST00000215331"	"ENSMUST00000215331.2"
"ENSMUSG00000006445"	1462.54085999106	-3.37887994788051	0.0812539474727772	-41.5841944049863	0	0	"ENSMUSG00000006445.4"	"Epha2"	"protein_coding"	141056695	"Eph receptor A2 [Source:MGI Symbol;Acc:MGI:95278]"	141028551	"ENSMUST00000006614"	"ENSMUST00000006614.3"
"ENSMUSG00000006932"	3659.70311534232	-2.24771306582821	0.0556334943514778	-40.4021550691701	0	0	"ENSMUSG00000006932.18"	"Ctnnb1"	"protein_coding"	120789573	"catenin beta 1 [Source:MGI Symbol;Acc:MGI:88276]"	120758282	"ENSMUST00000130466"	"ENSMUST00000130466.8"
"ENSMUSG00000014599"	7565.85183092422	-2.85990341997499	0.0424395407624657	-67.3877089288474	0	0	"ENSMUSG00000014599.11"	"Csf1"	"protein_coding"	107667785	"colony stimulating factor 1 (macrophage) [Source:MGI Symbol;Acc:MGI:1339753]"	107648364	"ENSMUST00000118593"	"ENSMUST00000118593.8"
"ENSMUSG00000019997"	9814.04618346503	-3.28626836726109	0.0446763084770013	-73.557294218989	0	0	"ENSMUSG00000019997.12"	"Ccn2"	"protein_coding"	24474581	"cellular communication network factor 2 [Source:MGI Symbol;Acc:MGI:95537]"	24471340	"ENSMUST00000020171"	"ENSMUST00000020171.12"
"ENSMUSG00000025498"	974.893702676281	-5.82984015549415	0.147520020354357	-39.5189760785712	0	0	"ENSMUSG00000025498.16"	"Irf7"	"protein_coding"	140846394	"interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]"	140842619	"ENSMUST00000106023"	"ENSMUST00000106023.8"
"ENSMUSG00000028128"	4221.3072353126	-2.18695173075022	0.0546334111788373	-40.0295658565313	0	0	"ENSMUSG00000028128.14"	"F3"	"protein_coding"	121528697	"coagulation factor III [Source:MGI Symbol;Acc:MGI:88381]"	121517186	"ENSMUST00000029771"	"ENSMUST00000029771.13"
"ENSMUSG00000028195"	3021.03622591462	-2.55252937984099	0.0557222642623992	-45.8080699632196	0	0	"ENSMUSG00000028195.5"	"Ccn1"	"protein_coding"	145355736	"cellular communication network factor 1 [Source:MGI Symbol;Acc:MGI:88613]"	145352731	"ENSMUST00000029846"	"ENSMUST00000029846.5"
"ENSMUSG00000028270"	2413.07161181617	-5.84461313429933	0.100176779492161	-58.3429928964397	0	0	"ENSMUSG00000028270.13"	"Gbp2"	"protein_coding"	142343769	"guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]"	142326363	"ENSMUST00000165774"	"ENSMUST00000165774.8"
"ENSMUSG00000029561"	851.114915816738	-4.62060731774831	0.118410441307032	-39.0219584248262	0	0	"ENSMUSG00000029561.18"	"Oasl2"	"protein_coding"	115050295	"2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]"	115034997	"ENSMUST00000031542"	"ENSMUST00000031542.13"
"ENSMUSG00000030107"	964.558800539949	-5.61216249605803	0.141304309171647	-39.716853144519	0	0	"ENSMUSG00000030107.11"	"Usp18"	"protein_coding"	121247876	"ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]"	121222865	"ENSMUST00000032198"	"ENSMUST00000032198.11"
"ENSMUSG00000030623"	2685.36008400922	-2.38734384643273	0.063395631229352	-37.6578606465141	0	0	"ENSMUSG00000030623.6"	"Prss23os"	"lncRNA"	89161085	"serine protease 23, opposite strand [Source:MGI Symbol;Acc:MGI:1916654]"	89159210	"ENSMUST00000179361"	"ENSMUST00000179361.3"
"ENSMUSG00000032487"	3368.5942111094	-2.30074031016445	0.0517147438908887	-44.4890593486978	0	0	"ENSMUSG00000032487.9"	"Ptgs2"	"protein_coding"	149983978	"prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]"	149975782	"ENSMUST00000035065"	"ENSMUST00000035065.9"
"ENSMUSG00000033880"	907.34706324781	-4.11278395568817	0.105796482911293	-38.8744865851223	0	0	"ENSMUSG00000033880.12"	"Lgals3bp"	"protein_coding"	118292918	"lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]"	118283577	"ENSMUST00000144529"	"ENSMUST00000144529.2"
"ENSMUSG00000034842"	1196.85551241863	-5.38396200985209	0.119001146138767	-45.2429424803512	0	0	"ENSMUSG00000034842.17"	"Art3"	"protein_coding"	92562487	"ADP-ribosyltransferase 3 [Source:MGI Symbol;Acc:MGI:1202729]"	92479686	"ENSMUST00000154245"	"ENSMUST00000154245.8"
"ENSMUSG00000034855"	6863.99897740023	-5.5299594067024	0.0622585893185495	-88.822433454251	0	0	"ENSMUSG00000034855.14"	"Cxcl10"	"protein_coding"	92496748	"C-X-C motif chemokine ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]"	92494497	"ENSMUST00000201176"	"ENSMUST00000201176.2"
"ENSMUSG00000035385"	3209.29903093632	-3.41030745397699	0.0604348921899008	-56.4294454809483	0	0	"ENSMUSG00000035385.6"	"Ccl2"	"protein_coding"	81928279	"C-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:98259]"	81926397	"ENSMUST00000000193"	"ENSMUST00000000193.6"
"ENSMUSG00000035692"	1425.40440354563	-5.81035898195405	0.122574223358617	-47.4027803133992	0	0	"ENSMUSG00000035692.8"	"Isg15"	"protein_coding"	156285253	"ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694]"	156283912	"ENSMUST00000085425"	"ENSMUST00000085425.6"
"ENSMUSG00000037411"	10665.1829258641	-2.56793785765568	0.0454382666482316	-56.514872751107	0	0	"ENSMUSG00000037411.12"	"Serpine1"	"protein_coding"	137101122	"serine (or cysteine) peptidase inhibitor, clade E, member 1 [Source:MGI Symbol;Acc:MGI:97608]"	137090358	"ENSMUST00000041388"	"ENSMUST00000041388.11"
"ENSMUSG00000038991"	1885.12954866895	-2.5299414057025	0.0648839552180545	-38.9917876800229	0	0	"ENSMUSG00000038991.18"	"Txndc5"	"protein_coding"	38712800	"thioredoxin domain containing 5 [Source:MGI Symbol;Acc:MGI:2145316]"	38684055	"ENSMUST00000035988"	"ENSMUST00000035988.16"
"ENSMUSG00000039405"	4561.76430061531	-2.19536867325562	0.0520090879345519	-42.2112511570722	0	0	"ENSMUSG00000039405.8"	"Prss23"	"protein_coding"	89176395	"serine protease 23 [Source:MGI Symbol;Acc:MGI:1923703]"	89156991	"ENSMUST00000041761"	"ENSMUST00000041761.7"
"ENSMUSG00000040152"	12976.0743726723	-3.15584144104802	0.0475918787232491	-66.3105035083719	0	0	"ENSMUSG00000040152.9"	"Thbs1"	"protein_coding"	117957614	"thrombospondin 1 [Source:MGI Symbol;Acc:MGI:98737]"	117942357	"ENSMUST00000039559"	"ENSMUST00000039559.9"
"ENSMUSG00000045932"	1675.70213028045	-6.31821459254241	0.135492153894616	-46.6315901764809	0	0	"ENSMUSG00000045932.13"	"Ifit2"	"protein_coding"	34553819	"interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]"	34528094	"ENSMUST00000149829"	"ENSMUST00000149829.8"
"ENSMUSG00000046879"	1406.77256815031	-3.81776856297815	0.0805729664992702	-47.3827479470143	0	0	"ENSMUSG00000046879.8"	"Irgm1"	"protein_coding"	48762510	"immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]"	48752795	"ENSMUST00000147151"	"ENSMUST00000147151.2"
"ENSMUSG00000048578"	3658.35317757243	-2.05093999640233	0.049538459720329	-41.4009641797702	0	0	"ENSMUSG00000048578.12"	"Mlec"	"protein_coding"	115296238	"malectin [Source:MGI Symbol;Acc:MGI:1924015]"	115281040	"ENSMUST00000112121"	"ENSMUST00000112121.6"
"ENSMUSG00000060519"	863.728808046253	-3.94152970338974	0.102894787386298	-38.3064079678989	0	0	"ENSMUSG00000060519.12"	"Tor3a"	"protein_coding"	156501926	"torsin family 3, member A [Source:MGI Symbol;Acc:MGI:1353652]"	156481187	"ENSMUST00000156861"	"ENSMUST00000156861.8"
