"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Gene.stable.ID.version"	"Gene.name"	"Gene.type"	"Gene.end..bp."	"Gene.description"	"Gene.start..bp."	"Transcript.stable.ID"	"Transcript.stable.ID.version"
"ENSMUSG00000034394"	680.994941320242	6.29717621493451	0.309716137021848	20.3320894916441	6.68924297673808e-92	1.25777835691606e-87	"ENSMUSG00000034394.15"	"Lif"	"protein_coding"	4222514	"leukemia inhibitory factor [Source:MGI Symbol;Acc:MGI:96787]"	4207557	"ENSMUST00000066283"	"ENSMUST00000066283.12"
"ENSMUSG00000026489"	371.472347136799	4.92009335921829	0.313079521561178	15.7151554808955	1.19088694095913e-55	1.11961235754273e-51	"ENSMUSG00000026489.14"	"Coq8a"	"protein_coding"	180027167	"coenzyme Q8A [Source:MGI Symbol;Acc:MGI:1914676]"	179992803	"ENSMUST00000027766"	"ENSMUST00000027766.13"
"ENSMUSG00000087400"	559.575010578654	4.93677357686368	0.337104719701246	14.6446290673083	1.457947436219e-48	9.13792854774192e-45	"ENSMUSG00000087400.11"	"Gm15270"	"lncRNA"	24473012	"predicted gene 15270 [Source:MGI Symbol;Acc:MGI:3705149]"	24206382	"ENSMUST00000146208"	"ENSMUST00000146208.2"
"ENSMUSG00000031765"	762.16665756397	4.96292928587865	0.34273852308315	14.4802202017852	1.61578709380675e-47	7.5954111812121e-44	"ENSMUSG00000031765.9"	"Mt1"	"protein_coding"	94906955	"metallothionein 1 [Source:MGI Symbol;Acc:MGI:97171]"	94905710	"ENSMUST00000034215"	"ENSMUST00000034215.8"
"ENSMUSG00000021508"	792.920476325648	4.76532890311529	0.331364378796467	14.3809329186897	6.81694048096148e-47	2.56357863727037e-43	"ENSMUSG00000021508.12"	"Cxcl14"	"protein_coding"	56444364	"C-X-C motif chemokine ligand 14 [Source:MGI Symbol;Acc:MGI:1888514]"	56436456	"ENSMUST00000224801"	"ENSMUST00000224801.2"
"ENSMUSG00000041324"	347.480773900859	5.30362791085244	0.370239647634773	14.3248513354363	1.53055265009611e-46	4.79649691329287e-43	"ENSMUSG00000041324.15"	"Inhba"	"protein_coding"	16206206	"inhibin beta-A [Source:MGI Symbol;Acc:MGI:96570]"	16186436	"ENSMUST00000042603"	"ENSMUST00000042603.14"
"ENSMUSG00000019997"	1530.55977742405	4.90110400960108	0.351327485549556	13.9502436079962	3.135326458105e-44	8.42193477024976e-41	"ENSMUSG00000019997.12"	"Ccn2"	"protein_coding"	24474581	"cellular communication network factor 2 [Source:MGI Symbol;Acc:MGI:95537]"	24471340	"ENSMUST00000020171"	"ENSMUST00000020171.12"
"ENSMUSG00000037820"	3965.84532981283	2.7610750101137	0.208991002044888	13.2114540008793	7.5354635273549e-40	1.77111650881068e-36	"ENSMUSG00000037820.16"	"Tgm2"	"protein_coding"	157988356	"transglutaminase 2, C polypeptide [Source:MGI Symbol;Acc:MGI:98731]"	157958322	"ENSMUST00000103122"	"ENSMUST00000103122.10"
"ENSMUSG00000041571"	623.174538265348	3.13343066029377	0.24140645657879	12.9798958350192	1.59096801837668e-38	3.3238857388374e-35	"ENSMUSG00000041571.11"	"Selenow"	"protein_coding"	15656327	"selenoprotein W [Source:MGI Symbol;Acc:MGI:1100878]"	15651133	"ENSMUST00000044355"	"ENSMUST00000044355.11"
"ENSMUSG00000037418"	377.22221318311	5.58455456641216	0.437197933723153	12.773515462103	2.30503732360166e-37	4.3341616795682e-34	"ENSMUSG00000037418.7"	"Best1"	"protein_coding"	9978997	"bestrophin 1 [Source:MGI Symbol;Acc:MGI:1346332]"	9962538	"ENSMUST00000117346"	"ENSMUST00000117346.2"
"ENSMUSG00000038418"	376.889894758343	4.07622851866692	0.322626755295107	12.6345024142167	1.36253338954122e-36	2.32906502941304e-33	"ENSMUSG00000038418.9"	"Egr1"	"protein_coding"	34998037	"early growth response 1 [Source:MGI Symbol;Acc:MGI:95295]"	34992876	"ENSMUST00000064795"	"ENSMUST00000064795.6"
"ENSMUSG00000092283"	1011.02257867568	2.77672010577794	0.225033933225553	12.3391173321173	5.57638475972408e-35	8.73773021975766e-32	"ENSMUSG00000092283.2"	"Gm20412"	"lncRNA"	157959825	"predicted gene 20412 [Source:MGI Symbol;Acc:MGI:5141877]"	157959074	"ENSMUST00000173249"	"ENSMUST00000173249.2"
"ENSMUSG00000001131"	1363.19431390375	3.08607234960907	0.253440443898921	12.1767161631072	4.1360188502518e-34	5.98227403394498e-31	"ENSMUSG00000001131.12"	"Timp1"	"protein_coding"	20740974	"tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]"	20736405	"ENSMUST00000115342"	"ENSMUST00000115342.10"
"ENSMUSG00000040152"	10491.3354459266	3.07303907215325	0.256545430140606	11.978537565331	4.60373163803164e-33	6.18314042785064e-30	"ENSMUSG00000040152.9"	"Thbs1"	"protein_coding"	117957614	"thrombospondin 1 [Source:MGI Symbol;Acc:MGI:98737]"	117942357	"ENSMUST00000039559"	"ENSMUST00000039559.9"
"ENSMUSG00000033917"	840.258207102751	3.11770463310437	0.260411444416894	11.9722258754236	4.96777495745766e-33	6.22727150167175e-30	"ENSMUSG00000033917.16"	"Gde1"	"protein_coding"	118305001	"glycerophosphodiester phosphodiesterase 1 [Source:MGI Symbol;Acc:MGI:1891827]"	118287768	"ENSMUST00000038791"	"ENSMUST00000038791.15"
"ENSMUSG00000048806"	877.453109537553	6.73861049597489	0.569248865218195	11.8377231957976	2.49124349001923e-32	2.92767820892697e-29	"ENSMUSG00000048806.5"	"Ifnb1"	"protein_coding"	88441011	"interferon beta 1, fibroblast [Source:MGI Symbol;Acc:MGI:107657]"	88440262	"ENSMUST00000055671"	"ENSMUST00000055671.5"
"ENSMUSG00000029377"	210.449294475846	7.0266286494031	0.597928195578014	11.751626200886	6.92727380801339e-32	7.6619723183574e-29	"ENSMUSG00000029377.6"	"Ereg"	"protein_coding"	91241505	"epiregulin [Source:MGI Symbol;Acc:MGI:107508]"	91222481	"ENSMUST00000031324"	"ENSMUST00000031324.6"
"ENSMUSG00000025746"	1050.46553600731	3.75928529414948	0.323341321552725	11.6263683098001	3.02703915346188e-31	3.16207873347465e-28	"ENSMUSG00000025746.12"	"Il6"	"protein_coding"	30224979	"interleukin 6 [Source:MGI Symbol;Acc:MGI:96559]"	30218112	"ENSMUST00000026845"	"ENSMUST00000026845.12"
"ENSMUSG00000038508"	3289.19635514583	3.422209929314	0.295323969133774	11.5879856936497	4.74152221425326e-31	4.69236011550548e-28	"ENSMUSG00000038508.8"	"Gdf15"	"protein_coding"	71085106	"growth differentiation factor 15 [Source:MGI Symbol;Acc:MGI:1346047]"	71082043	"ENSMUST00000003808"	"ENSMUST00000003808.8"
"ENSMUSG00000078249"	1035.17537258972	2.72686991628832	0.236277874846557	11.5409448221049	8.20193243862545e-31	7.71104678217371e-28	"ENSMUSG00000078249.6"	"Hmga1b"	"protein_coding"	120655245	"high mobility group AT-hook 1B [Source:MGI Symbol;Acc:MGI:96161]"	120653620	"ENSMUST00000105046"	"ENSMUST00000105046.4"
"ENSMUSG00000023951"	1165.15016372319	4.07689720224318	0.354847146220371	11.4891644068945	1.49551461106292e-30	1.33905529675314e-27	"ENSMUSG00000023951.19"	"Vegfa"	"protein_coding"	46343295	"vascular endothelial growth factor A [Source:MGI Symbol;Acc:MGI:103178]"	46327919	"ENSMUST00000024747"	"ENSMUST00000024747.14"
"ENSMUSG00000037411"	3486.92405683642	4.76309618251462	0.423847904472297	11.2377485703151	2.6608186637511e-29	2.27415333338691e-26	"ENSMUSG00000037411.12"	"Serpine1"	"protein_coding"	137101122	"serine (or cysteine) peptidase inhibitor, clade E, member 1 [Source:MGI Symbol;Acc:MGI:97608]"	137090358	"ENSMUST00000041388"	"ENSMUST00000041388.11"
"ENSMUSG00000028278"	168.291493770218	4.61341189460794	0.411171094513158	11.2201756304645	3.2462510024071e-29	2.65388076514177e-26	"ENSMUSG00000028278.15"	"Rragd"	"protein_coding"	33022180	"Ras-related GTP binding D [Source:MGI Symbol;Acc:MGI:1098604]"	32983037	"ENSMUST00000098190"	"ENSMUST00000098190.10"
"ENSMUSG00000050737"	873.962693077525	3.66060079084948	0.327528107376991	11.1764477869255	5.31760891038066e-29	4.16612501424532e-26	"ENSMUSG00000050737.14"	"Ptges"	"protein_coding"	30819875	"prostaglandin E synthase [Source:MGI Symbol;Acc:MGI:1927593]"	30779483	"ENSMUST00000102852"	"ENSMUST00000102852.6"
"ENSMUSG00000045382"	170.702155376505	4.28984935471541	0.387959498372769	11.0574670106247	2.01713669141726e-28	1.51712884834875e-25	"ENSMUSG00000045382.7"	"Cxcr4"	"protein_coding"	128520030	"C-X-C motif chemokine receptor 4 [Source:MGI Symbol;Acc:MGI:109563]"	128515936	"ENSMUST00000052172"	"ENSMUST00000052172.7"
"ENSMUSG00000101859"	632.281777534998	3.36660068580814	0.305328457397962	11.0261608580433	2.85806912858187e-28	2.06693360864326e-25	"ENSMUSG00000101859.2"	"Gm29233"	"lncRNA"	117954528	"predicted gene 29233 [Source:MGI Symbol;Acc:MGI:5579939]"	117953932	"ENSMUST00000190311"	"ENSMUST00000190311.2"
"ENSMUSG00000035828"	469.645566103983	3.35650368794471	0.323087980381302	10.3888225243893	2.78773300844922e-25	1.94139791695817e-22	"ENSMUSG00000035828.12"	"Pim3"	"protein_coding"	88749929	"proviral integration site 3 [Source:MGI Symbol;Acc:MGI:1355297]"	88746389	"ENSMUST00000042818"	"ENSMUST00000042818.11"
"ENSMUSG00000055435"	1225.08350201479	-2.75726356977018	0.277795028718713	-9.92553244198657	3.22377527009457e-23	2.16488022869958e-20	"ENSMUSG00000055435.7"	"Maf"	"protein_coding"	116434533	"MAF bZIP transcription factor [Source:MGI Symbol;Acc:MGI:96909]"	116409681	"ENSMUST00000069009"	"ENSMUST00000069009.7"
"ENSMUSG00000085586"	182.771183020496	4.55586925408749	0.465622824130019	9.78446291287329	1.31290466504367e-22	8.51260221269523e-20	"ENSMUSG00000085586.4"	"Gm11613"	"lncRNA"	97551193	"predicted gene 11613 [Source:MGI Symbol;Acc:MGI:3651819]"	97535010	"ENSMUST00000134427"	"ENSMUST00000134427.2"
"ENSMUSG00000034612"	200.549761948869	3.23413923453415	0.334069658995344	9.68103252555248	3.63030844593674e-22	2.27535632363161e-19	"ENSMUSG00000034612.8"	"Chst11"	"protein_coding"	83031734	"carbohydrate sulfotransferase 11 [Source:MGI Symbol;Acc:MGI:1927166]"	82821332	"ENSMUST00000040110"	"ENSMUST00000040110.8"
"ENSMUSG00000032515"	2358.61107907296	3.63107167447599	0.377744549278493	9.61250580957815	7.08045087731316e-22	4.29463605955224e-19	"ENSMUSG00000032515.9"	"Csrnp1"	"protein_coding"	119813724	"cysteine-serine-rich nuclear protein 1 [Source:MGI Symbol;Acc:MGI:2387989]"	119800229	"ENSMUST00000035101"	"ENSMUST00000035101.9"
"ENSMUSG00000028214"	238.399049123793	4.55678255593338	0.480083752044422	9.49164085751384	2.27425727043811e-21	1.33633935800149e-18	"ENSMUSG00000028214.14"	"Gem"	"protein_coding"	11714752	"GTP binding protein overexpressed in skeletal muscle [Source:MGI Symbol;Acc:MGI:99844]"	11704457	"ENSMUST00000108304"	"ENSMUST00000108304.9"
"ENSMUSG00000006219"	236.300106291046	2.68889421134666	0.284266162297267	9.4590724045966	3.10686999577764e-21	1.77025686456384e-18	"ENSMUSG00000006219.13"	"Fblim1"	"protein_coding"	141333407	"filamin binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1921452]"	141303373	"ENSMUST00000006381"	"ENSMUST00000006381.11"
"ENSMUSG00000062345"	646.60364567841	4.41322410422212	0.469057673422894	9.40870249924093	5.022989713422e-21	2.77786104651394e-18	"ENSMUSG00000062345.11"	"Serpinb2"	"protein_coding"	107463208	"serine (or cysteine) peptidase inhibitor, clade B, member 2 [Source:MGI Symbol;Acc:MGI:97609]"	107439153	"ENSMUST00000009356"	"ENSMUST00000009356.11"
"ENSMUSG00000046711"	755.630068507212	2.48145938615565	0.264494140180342	9.38190685231705	6.47902071240681e-21	3.48071504158243e-18	"ENSMUSG00000046711.17"	"Hmga1"	"protein_coding"	27782648	"high mobility group AT-hook 1 [Source:MGI Symbol;Acc:MGI:96160]"	27775471	"ENSMUST00000118599"	"ENSMUST00000118599.9"
"ENSMUSG00000120110"	79.74114298458	6.57221897440239	0.709668112806156	9.26097545571639	2.02572983095943e-20	1.05804994476473e-17	"ENSMUSG00000120110.2"	"Gm57329"	"lncRNA"	54176105	"predicted gene, 57329 [Source:MGI Symbol;Acc:MGI:7338571]"	54104122	"ENSMUST00000241426"	"ENSMUST00000241426.2"
"ENSMUSG00000113587"	1296.8980472142	3.30287109761008	0.357035978226902	9.25080747887837	2.22803050123659e-20	1.1322610139122e-17	"ENSMUSG00000113587.3"	"Gm36287"	"lncRNA"	25280205	"predicted gene, 36287 [Source:MGI Symbol;Acc:MGI:5595446]"	25145745	"ENSMUST00000223481"	"ENSMUST00000223481.3"
"ENSMUSG00000018916"	107.358541393609	7.64115969643898	0.827576035363626	9.23318144789143	2.62710535315269e-20	1.29993320935079e-17	"ENSMUSG00000018916.6"	"Csf2"	"protein_coding"	54140493	"colony stimulating factor 2 (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339752]"	54138097	"ENSMUST00000019060"	"ENSMUST00000019060.6"
"ENSMUSG00000028634"	270.738506023231	2.66876379210531	0.294195530911347	9.07139474157928	1.17503129199857e-19	5.66515727780746e-17	"ENSMUSG00000028634.18"	"Hivep3"	"protein_coding"	119995242	"human immunodeficiency virus type I enhancer binding protein 3 [Source:MGI Symbol;Acc:MGI:106589]"	119590981	"ENSMUST00000144907"	"ENSMUST00000144907.8"
"ENSMUSG00000026826"	86.6753025147555	5.56930166236298	0.620639671390951	8.97348641907033	2.87274198269482e-19	1.35040418751527e-16	"ENSMUSG00000026826.14"	"Nr4a2"	"protein_coding"	57014015	"nuclear receptor subfamily 4, group A, member 2 [Source:MGI Symbol;Acc:MGI:1352456]"	56996842	"ENSMUST00000028166"	"ENSMUST00000028166.9"
"ENSMUSG00000004791"	79.2424493435915	4.79998631949539	0.536102876348875	8.9534798846551	3.44448643876357e-19	1.57967508556272e-16	"ENSMUSG00000004791.8"	"Pgf"	"protein_coding"	85224564	"placental growth factor [Source:MGI Symbol;Acc:MGI:105095]"	85213409	"ENSMUST00000223220"	"ENSMUST00000223220.2"
"ENSMUSG00000047798"	83.2688306775767	3.81550940651924	0.431376546377461	8.84496257054413	9.15589954987022e-19	4.09900902943356e-16	"ENSMUSG00000047798.16"	"Cd300lf"	"protein_coding"	115024818	"CD300 molecule like family member F [Source:MGI Symbol;Acc:MGI:2442359]"	115007040	"ENSMUST00000051264"	"ENSMUST00000051264.14"
"ENSMUSG00000027399"	1218.55165316362	3.01979659679963	0.343569760175981	8.78947144606922	1.50265232363894e-18	6.5707841026472e-16	"ENSMUSG00000027399.2"	"Il1a"	"protein_coding"	129151892	"interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]"	129141530	"ENSMUST00000028882"	"ENSMUST00000028882.2"
"ENSMUSG00000028195"	496.055945000561	2.91673835484742	0.333717066172146	8.74015341289987	2.32794087473461e-18	9.72717161502997e-16	"ENSMUSG00000028195.5"	"Ccn1"	"protein_coding"	145355736	"cellular communication network factor 1 [Source:MGI Symbol;Acc:MGI:88613]"	145352731	"ENSMUST00000029846"	"ENSMUST00000029846.5"
"ENSMUSG00000085498"	523.455587402159	2.90078565684109	0.331856458899746	8.74108542729138	2.30881347010959e-18	9.72717161502997e-16	"ENSMUSG00000085498.4"	"Gm14023"	"lncRNA"	129217678	"predicted gene 14023 [Source:MGI Symbol;Acc:MGI:3650639]"	129139285	"ENSMUST00000241083"	"ENSMUST00000241083.1"
"ENSMUSG00000018217"	1129.52396980948	2.12734936434217	0.243962553895018	8.71998317109604	2.78243142363788e-18	1.1373490882318e-15	"ENSMUSG00000018217.13"	"Pmp22"	"protein_coding"	63050373	"peripheral myelin protein 22 [Source:MGI Symbol;Acc:MGI:97631]"	63019808	"ENSMUST00000018361"	"ENSMUST00000018361.10"
"ENSMUSG00000027859"	102.241199309049	3.98937409719349	0.464138532791573	8.59522279522732	8.31034028369524e-18	3.32466656073025e-15	"ENSMUSG00000027859.11"	"Ngf"	"protein_coding"	102428329	"nerve growth factor [Source:MGI Symbol;Acc:MGI:97321]"	102377235	"ENSMUST00000035952"	"ENSMUST00000035952.5"
"ENSMUSG00000042742"	608.871180903282	-3.46550756055687	0.41086045116928	-8.43475576852015	3.31895166506708e-17	1.30013016996367e-14	"ENSMUSG00000042742.8"	"Samtor"	"protein_coding"	13677965	"S-adenosylmethionine sensor upstream of mTORC1 [Source:MGI Symbol;Acc:MGI:2141466]"	13625672	"ENSMUST00000045235"	"ENSMUST00000045235.8"
"ENSMUSG00000099568"	96.6257152749966	4.41701775986722	0.526867491266507	8.38354583094395	5.13566672846785e-17	1.97073349990573e-14	"ENSMUSG00000099568.3"	"Gm28513"	"lncRNA"	153625070	"predicted gene 28513 [Source:MGI Symbol;Acc:MGI:5579219]"	153596986	"ENSMUST00000191474"	"ENSMUST00000191474.2"
