Gene stable ID	Chromosome/scaffold name	Transcript count	Gene % GC content	Strand
ENSMUSG00000064336	MT	1	30.88	1
ENSMUSG00000064337	MT	1	35.81	1
ENSMUSG00000064338	MT	1	39.13	1
ENSMUSG00000064339	MT	1	35.40	1
ENSMUSG00000064340	MT	1	44.00	1
ENSMUSG00000064341	MT	1	37.62	1
ENSMUSG00000064342	MT	1	27.54	1
ENSMUSG00000064343	MT	1	36.62	-1
ENSMUSG00000064344	MT	1	44.93	1
ENSMUSG00000064345	MT	1	35.74	1
ENSMUSG00000064346	MT	1	40.30	1
ENSMUSG00000064347	MT	1	33.33	-1
ENSMUSG00000064348	MT	1	33.80	-1
ENSMUSG00000064349	MT	1	36.36	-1
ENSMUSG00000064350	MT	1	34.33	-1
ENSMUSG00000064351	MT	1	39.87	1
ENSMUSG00000064352	MT	1	37.68	-1
ENSMUSG00000064353	MT	1	17.14	1
ENSMUSG00000064354	MT	1	38.60	1
ENSMUSG00000064355	MT	1	33.85	1
ENSMUSG00000064356	MT	1	31.86	1
ENSMUSG00000064357	MT	1	35.98	1
ENSMUSG00000064358	MT	1	38.90	1
ENSMUSG00000064359	MT	1	30.88	1
ENSMUSG00000064360	MT	1	33.05	1
ENSMUSG00000064361	MT	1	22.06	1
ENSMUSG00000065947	MT	1	41.08	1
ENSMUSG00000064363	MT	1	35.63	1
ENSMUSG00000064364	MT	1	31.34	1
ENSMUSG00000064365	MT	1	32.20	1
ENSMUSG00000064366	MT	1	30.99	1
ENSMUSG00000064367	MT	1	37.12	1
ENSMUSG00000064368	MT	1	34.10	-1
ENSMUSG00000064369	MT	1	34.78	-1
ENSMUSG00000064370	MT	1	39.07	1
ENSMUSG00000064371	MT	1	34.33	1
ENSMUSG00000064372	MT	1	44.78	-1
ENSMUSG00002075400	GL456239.1	1	44.90	1
ENSMUSG00000094722	JH584298.1	1	43.80	1
ENSMUSG00000096776	GL456219.1	1	43.63	-1
ENSMUSG00000094741	GL456354.1	1	45.92	1
ENSMUSG00002074899	GL456372.1	1	47.93	-1
ENSMUSG00002074970	GL456385.1	1	50.50	1
ENSMUSG00002076890	GL456381.1	1	50.51	-1
ENSMUSG00000095019	JH584303.1	1	43.03	1
ENSMUSG00000095666	JH584296.1	1	43.90	-1
ENSMUSG00000094303	JH584297.1	1	44.04	-1
ENSMUSG00000094915	GL456212.1	1	40.83	-1
ENSMUSG00000095041	JH584304.1	2	52.45	-1
ENSMUSG00000095250	GL456211.1	1	47.75	-1
ENSMUSG00000079800	GL456210.1	1	44.73	-1
ENSMUSG00000079222	GL456221.1	1	45.73	-1
ENSMUSG00000094836	JH584299.1	1	40.81	1
ENSMUSG00002075729	GL456385.1	1	50.00	1
ENSMUSG00000096244	GL456219.1	1	43.30	-1
ENSMUSG00000079808	GL456212.1	1	46.70	-1
ENSMUSG00000095787	GL456211.1	1	50.27	-1
ENSMUSG00000074720	GL456354.1	1	41.59	-1
ENSMUSG00000096236	JH584297.1	1	46.01	1
ENSMUSG00000095092	GL456210.1	1	47.70	-1
ENSMUSG00000094383	JH584299.1	1	44.32	1
ENSMUSG00000094874	GL456221.1	1	47.78	-1
ENSMUSG00000096680	JH584296.1	1	44.29	-1
ENSMUSG00000096100	GL456211.1	1	49.73	1
ENSMUSG00000094337	GL456354.1	2	43.84	-1
ENSMUSG00000079192	GL456210.1	1	46.26	1
ENSMUSG00000094054	GL456211.1	1	48.48	1
ENSMUSG00000096756	JH584297.1	1	44.00	-1
ENSMUSG00000095500	GL456221.1	1	43.91	1
ENSMUSG00000095672	GL456211.1	1	47.84	-1
ENSMUSG00000095505	JH584296.1	1	41.87	-1
ENSMUSG00000079794	GL456210.1	1	45.78	-1
ENSMUSG00000079190	GL456211.1	1	43.84	1
ENSMUSG00000095450	GL456221.1	1	50.27	-1
ENSMUSG00000094474	JH584299.1	1	43.89	1
ENSMUSG00000144201	JH584304.1	1	48.78	-1
ENSMUSG00000094799	GL456210.1	1	47.65	1
ENSMUSG00000094728	GL456221.1	1	50.27	1
ENSMUSG00000095570	GL456354.1	1	44.26	-1
ENSMUSG00000062783	GL456221.1	1	43.64	-1
ENSMUSG00000144196	GL456210.1	5	44.07	1
ENSMUSG00000094791	JH584299.1	1	41.47	1
ENSMUSG00000094514	GL456211.1	1	40.66	-1
ENSMUSG00000096728	GL456354.1	1	46.44	1
ENSMUSG00000096808	GL456221.1	1	38.27	1
ENSMUSG00000096550	JH584299.1	1	43.88	1
ENSMUSG00000144204	GL456211.1	4	44.53	-1
ENSMUSG00000144203	GL456221.1	1	44.33	-1
ENSMUSG00000144199	GL456221.1	3	43.41	1
ENSMUSG00000094172	JH584299.1	1	44.37	1
ENSMUSG00000094887	JH584299.1	1	39.91	1
ENSMUSG00000091585	JH584299.1	1	43.13	1
ENSMUSG00000095763	JH584299.1	1	43.88	1
ENSMUSG00000095523	JH584299.1	1	43.94	1
ENSMUSG00000095475	JH584299.1	1	46.08	-1
ENSMUSG00000094855	JH584299.1	1	44.40	1
ENSMUSG00000100384	Y	1	31.78	1
ENSMUSG00000100216	Y	1	45.11	1
ENSMUSG00000099641	Y	1	45.37	1
ENSMUSG00000095634	Y	2	39.81	1
ENSMUSG00000101393	Y	2	40.25	-1
ENSMUSG00000100885	Y	1	45.45	1
ENSMUSG00000101120	Y	1	40.58	1
ENSMUSG00000101216	Y	1	43.39	1
ENSMUSG00000100032	Y	1	35.59	-1
ENSMUSG00000101080	Y	2	40.01	-1
ENSMUSG00000094444	Y	2	50.95	-1
ENSMUSG00000100308	Y	1	45.68	1
ENSMUSG00000101423	Y	2	40.80	-1
ENSMUSG00000095626	Y	2	50.95	-1
ENSMUSG00000101761	Y	2	41.29	-1
ENSMUSG00000099493	Y	1	45.11	-1
ENSMUSG00000096777	Y	2	50.95	1
ENSMUSG00000102119	Y	2	38.91	-1
ENSMUSG00000100739	Y	2	41.03	1
ENSMUSG00000095345	Y	2	50.28	1
ENSMUSG00000100709	Y	2	41.03	1
ENSMUSG00000100976	Y	1	31.13	1
ENSMUSG00000100489	Y	1	44.04	-1
ENSMUSG00000101239	Y	1	40.71	-1
ENSMUSG00000100971	Y	1	45.19	-1
ENSMUSG00000100509	Y	1	45.11	-1
ENSMUSG00000095553	Y	2	50.95	1
ENSMUSG00000101099	Y	2	40.77	1
ENSMUSG00000101601	Y	1	45.41	1
ENSMUSG00000101516	Y	3	40.44	1
ENSMUSG00000101359	Y	1	31.76	1
ENSMUSG00000100790	Y	3	40.39	-1
ENSMUSG00000101302	Y	3	40.46	-1
ENSMUSG00000102125	Y	3	40.46	-1
ENSMUSG00000094064	Y	2	50.95	-1
ENSMUSG00000101421	Y	1	40.63	-1
ENSMUSG00000099461	Y	2	40.72	-1
ENSMUSG00000101706	Y	1	45.32	-1
ENSMUSG00000096532	Y	2	50.95	-1
ENSMUSG00000101627	Y	2	40.29	1
ENSMUSG00000101681	Y	2	41.25	-1
ENSMUSG00000101870	Y	1	45.11	-1
ENSMUSG00000101472	Y	1	50.95	1
ENSMUSG00000101407	Y	2	40.80	1
ENSMUSG00000099500	Y	1	50.95	1
ENSMUSG00000100097	Y	2	41.03	1
ENSMUSG00000099806	Y	1	44.89	-1
ENSMUSG00000101474	Y	1	50.95	1
ENSMUSG00000099704	Y	2	39.97	1
ENSMUSG00000099737	Y	2	40.86	1
ENSMUSG00000099914	Y	1	43.53	-1
ENSMUSG00000101417	Y	1	37.44	1
ENSMUSG00000101654	Y	1	45.64	1
ENSMUSG00000099369	Y	1	40.00	-1
ENSMUSG00000101808	Y	1	45.37	1
ENSMUSG00000101893	Y	1	45.19	-1
ENSMUSG00000099910	Y	1	45.77	1
ENSMUSG00000099818	Y	1	45.37	1
ENSMUSG00000100500	Y	1	38.90	-1
ENSMUSG00000101255	Y	1	45.55	-1
ENSMUSG00000099463	Y	3	40.11	-1
ENSMUSG00000100745	Y	1	45.43	1
ENSMUSG00000101341	Y	1	45.48	1
ENSMUSG00000100193	Y	1	45.37	1
ENSMUSG00000099651	Y	1	39.05	-1
ENSMUSG00000100535	Y	1	35.52	1
ENSMUSG00000099390	Y	3	40.24	-1
ENSMUSG00000099738	Y	1	43.10	-1
ENSMUSG00000100422	Y	1	45.25	1
ENSMUSG00000101988	Y	1	40.38	-1
ENSMUSG00000100385	Y	1	40.95	1
ENSMUSG00000101626	Y	3	39.96	-1
ENSMUSG00000101091	Y	1	45.46	1
ENSMUSG00000100229	Y	1	44.97	1
ENSMUSG00000101691	Y	1	45.20	1
ENSMUSG00000100244	Y	1	45.26	1
ENSMUSG00000100694	Y	2	40.29	1
ENSMUSG00000099799	Y	3	40.00	-1
ENSMUSG00000101806	Y	1	45.04	1
ENSMUSG00000101632	Y	1	39.14	-1
ENSMUSG00000099963	Y	3	40.31	-1
ENSMUSG00000101857	Y	1	45.40	-1
ENSMUSG00000101836	Y	1	43.53	-1
ENSMUSG00000102008	Y	1	40.32	-1
ENSMUSG00000100263	Y	1	45.20	1
ENSMUSG00000101425	Y	2	40.10	1
ENSMUSG00000099822	Y	3	40.27	-1
ENSMUSG00000099547	Y	1	45.11	-1
ENSMUSG00000101781	Y	1	45.16	1
ENSMUSG00000101271	Y	1	40.32	1
ENSMUSG00000099504	Y	1	43.53	1
ENSMUSG00000099782	Y	1	35.56	1
ENSMUSG00000101377	Y	1	45.41	-1
ENSMUSG00000101038	Y	1	43.68	-1
ENSMUSG00000101709	Y	1	35.30	-1
ENSMUSG00000100604	Y	1	40.71	-1
ENSMUSG00000099554	Y	2	40.25	1
ENSMUSG00000099814	Y	3	40.03	-1
ENSMUSG00000101757	Y	1	45.32	-1
ENSMUSG00000101815	Y	1	45.38	1
ENSMUSG00000101538	Y	1	45.11	1
ENSMUSG00000100251	Y	1	45.19	-1
ENSMUSG00000100983	Y	1	45.37	1
ENSMUSG00000101820	Y	1	35.63	-1
ENSMUSG00000099832	Y	1	45.43	1
ENSMUSG00000101246	Y	1	40.63	1
ENSMUSG00000101382	Y	1	45.37	1
ENSMUSG00000099967	Y	1	39.26	-1
ENSMUSG00000100705	Y	1	43.82	1
ENSMUSG00000101157	Y	1	35.59	-1
ENSMUSG00000099712	Y	1	45.11	1
ENSMUSG00000099586	Y	1	45.37	1
ENSMUSG00000101879	Y	2	40.27	-1
ENSMUSG00000099412	Y	1	40.00	1
ENSMUSG00000101831	Y	1	43.53	1
ENSMUSG00000099601	Y	1	45.38	1
ENSMUSG00000101704	Y	1	44.97	1
ENSMUSG00000101349	Y	1	45.04	1
ENSMUSG00000100140	Y	2	40.09	1
ENSMUSG00000094575	Y	1	39.70	1
ENSMUSG00000101146	Y	1	35.54	1
ENSMUSG00000099499	Y	1	43.82	-1
ENSMUSG00000101213	Y	1	40.27	-1
ENSMUSG00000100952	Y	2	40.17	-1
ENSMUSG00000099730	Y	1	45.29	1
ENSMUSG00000099896	Y	2	40.35	1
ENSMUSG00000101873	Y	1	45.37	1
ENSMUSG00000100260	Y	1	45.20	-1
ENSMUSG00000100675	Y	1	43.36	-1
ENSMUSG00000099807	Y	2	40.20	-1
ENSMUSG00000101435	Y	1	45.47	1
ENSMUSG00000100544	Y	2	40.09	1
ENSMUSG00000100883	Y	1	43.82	1
ENSMUSG00000100902	Y	1	35.53	1
ENSMUSG00000100892	Y	1	35.58	-1
ENSMUSG00000100673	Y	1	43.68	-1
ENSMUSG00000101050	Y	2	40.24	-1
ENSMUSG00000102025	Y	1	40.63	-1
ENSMUSG00000099793	Y	1	45.28	1
ENSMUSG00000100699	Y	1	45.26	1
ENSMUSG00000099351	Y	1	45.37	1
ENSMUSG00000101771	Y	2	40.65	-1
ENSMUSG00000100719	Y	1	50.76	-1
ENSMUSG00000101740	Y	2	41.32	-1
ENSMUSG00000100050	Y	1	42.77	-1
ENSMUSG00000100588	Y	2	40.49	-1
ENSMUSG00000102050	Y	1	43.00	-1
ENSMUSG00000101238	Y	1	43.39	-1
ENSMUSG00000100406	Y	1	40.32	-1
ENSMUSG00000099526	Y	2	40.28	1
ENSMUSG00000101040	Y	2	41.18	1
ENSMUSG00000101272	Y	1	50.00	1
ENSMUSG00000101633	Y	1	50.00	1
ENSMUSG00000101283	Y	1	45.37	-1
ENSMUSG00000100907	Y	1	44.83	-1
ENSMUSG00000101960	Y	2	40.65	1
ENSMUSG00000101917	Y	1	43.53	-1
ENSMUSG00000101205	Y	1	40.32	-1
ENSMUSG00000100526	Y	1	45.54	-1
ENSMUSG00000101785	Y	1	40.67	-1
ENSMUSG00000100149	Y	1	40.49	1
ENSMUSG00000099953	Y	1	43.53	-1
ENSMUSG00000102032	Y	1	40.00	-1
ENSMUSG00000100823	Y	1	45.38	-1
ENSMUSG00000099416	Y	2	40.36	1
ENSMUSG00000099606	Y	1	40.63	-1
ENSMUSG00000100063	Y	1	45.42	-1
ENSMUSG00000100722	Y	2	40.20	1
ENSMUSG00000096898	Y	2	39.75	-1
ENSMUSG00000100366	Y	1	38.85	1
ENSMUSG00000100888	Y	1	44.88	-1
ENSMUSG00000100433	Y	1	45.11	-1
ENSMUSG00000102111	Y	1	39.39	-1
ENSMUSG00000101060	Y	2	40.09	1
ENSMUSG00000099497	Y	1	40.63	-1
ENSMUSG00000099479	Y	1	45.45	-1
ENSMUSG00000101115	Y	1	39.70	-1
ENSMUSG00000100849	Y	2	40.24	1
ENSMUSG00000099742	Y	1	41.07	-1
ENSMUSG00000100999	Y	1	45.39	-1
ENSMUSG00000101321	Y	1	41.87	-1
ENSMUSG00000100328	Y	2	40.29	1
ENSMUSG00000094739	Y	2	40.15	-1
ENSMUSG00000102071	Y	1	45.04	-1
ENSMUSG00000101804	Y	2	39.93	1
ENSMUSG00000099849	Y	2	40.33	-1
ENSMUSG00000100822	Y	2	40.28	-1
ENSMUSG00000101471	Y	1	36.71	-1
ENSMUSG00000101455	Y	1	45.11	-1
ENSMUSG00000099700	Y	1	50.95	1
ENSMUSG00000101811	Y	1	50.95	1
ENSMUSG00000101247	Y	1	45.64	1
ENSMUSG00000100610	Y	1	44.79	-1
ENSMUSG00000099408	Y	2	40.19	-1
ENSMUSG00000101197	Y	1	45.34	-1
ENSMUSG00000101207	Y	2	40.36	-1
ENSMUSG00000102016	Y	2	40.27	1
ENSMUSG00000100051	Y	2	40.51	-1
ENSMUSG00000101733	Y	1	45.04	-1
ENSMUSG00000099977	Y	2	41.23	1
ENSMUSG00000099415	Y	1	50.57	1
ENSMUSG00000100953	Y	2	40.78	1
ENSMUSG00000099734	Y	1	43.39	-1
ENSMUSG00000100693	Y	2	40.15	-1
ENSMUSG00000100723	Y	1	40.63	-1
ENSMUSG00000101981	Y	1	45.42	-1
ENSMUSG00000099805	Y	1	44.79	-1
ENSMUSG00000101070	Y	1	45.34	-1
ENSMUSG00000100286	Y	1	45.48	-1
ENSMUSG00000102081	Y	2	50.95	-1
ENSMUSG00000099679	Y	1	45.20	-1
ENSMUSG00000102031	Y	2	41.20	-1
ENSMUSG00000100408	Y	1	42.98	1
ENSMUSG00000102116	Y	1	39.00	-1
ENSMUSG00000101637	Y	1	43.53	-1
ENSMUSG00000101649	Y	2	40.28	1
ENSMUSG00000095353	Y	1	45.11	-1
ENSMUSG00000100469	Y	1	45.55	-1
ENSMUSG00000100821	Y	1	45.20	-1
ENSMUSG00000101058	Y	1	44.97	-1
ENSMUSG00000099790	Y	2	40.38	1
ENSMUSG00000100187	Y	2	39.84	1
ENSMUSG00000101962	Y	2	40.21	1
ENSMUSG00000100598	Y	1	45.37	-1
ENSMUSG00000100011	Y	2	40.61	1
ENSMUSG00000100879	Y	1	45.27	-1
ENSMUSG00000101675	Y	2	50.95	1
ENSMUSG00000099480	Y	2	39.95	1
ENSMUSG00000100499	Y	2	41.04	1
ENSMUSG00000100298	Y	1	38.89	1
