"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Gene.stable.ID.version"	"Gene.name"	"Gene.type"	"Gene.end..bp."	"Gene.description"	"Gene.start..bp."	"Transcript.stable.ID"	"Transcript.stable.ID.version"
"ENSMUSG00000014599"	7565.85183092422	1.50794072400001	0.0396833168934415	37.9993620001363	0	0	"ENSMUSG00000014599.11"	"Csf1"	"protein_coding"	107667785	"colony stimulating factor 1 (macrophage) [Source:MGI Symbol;Acc:MGI:1339753]"	107648364	"ENSMUST00000118593"	"ENSMUST00000118593.8"
"ENSMUSG00000025492"	1518.99510990625	2.93041103355076	0.0746970328033899	39.2306216669127	0	0	"ENSMUSG00000025492.7"	"Ifitm3"	"protein_coding"	140590683	"interferon induced transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1913391]"	140589499	"ENSMUST00000026565"	"ENSMUST00000026565.7"
"ENSMUSG00000025498"	974.893702676281	6.38967728950191	0.167265640598832	38.2007761224964	0	0	"ENSMUSG00000025498.16"	"Irf7"	"protein_coding"	140846394	"interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]"	140842619	"ENSMUST00000106023"	"ENSMUST00000106023.8"
"ENSMUSG00000027962"	2478.73248673978	3.79028307987439	0.0675174485404737	56.1378304691458	0	0	"ENSMUSG00000027962.15"	"Vcam1"	"protein_coding"	115923337	"vascular cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:98926]"	115903598	"ENSMUST00000029574"	"ENSMUST00000029574.13"
"ENSMUSG00000028270"	2413.07161181617	7.03952017922057	0.133088144039298	52.8936685535411	0	0	"ENSMUSG00000028270.13"	"Gbp2"	"protein_coding"	142343769	"guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]"	142326363	"ENSMUST00000165774"	"ENSMUST00000165774.8"
"ENSMUSG00000029561"	851.114915816738	5.88128937872578	0.15611708046219	37.6722992853442	0	0	"ENSMUSG00000029561.18"	"Oasl2"	"protein_coding"	115050295	"2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]"	115034997	"ENSMUST00000031542"	"ENSMUST00000031542.13"
"ENSMUSG00000030107"	964.558800539949	5.1018421138575	0.122030623861135	41.8078835658757	0	0	"ENSMUSG00000030107.11"	"Usp18"	"protein_coding"	121247876	"ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]"	121222865	"ENSMUST00000032198"	"ENSMUST00000032198.11"
"ENSMUSG00000033880"	907.34706324781	3.95836308237593	0.101249969195196	39.0949559179098	0	0	"ENSMUSG00000033880.12"	"Lgals3bp"	"protein_coding"	118292918	"lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]"	118283577	"ENSMUST00000144529"	"ENSMUST00000144529.2"
"ENSMUSG00000034842"	1196.85551241863	6.31695474951755	0.148157797052937	42.6366676285047	0	0	"ENSMUSG00000034842.17"	"Art3"	"protein_coding"	92562487	"ADP-ribosyltransferase 3 [Source:MGI Symbol;Acc:MGI:1202729]"	92479686	"ENSMUST00000154245"	"ENSMUST00000154245.8"
"ENSMUSG00000034855"	6863.99897740023	5.8226791773333	0.0644119752086298	90.3974634914345	0	0	"ENSMUSG00000034855.14"	"Cxcl10"	"protein_coding"	92496748	"C-X-C motif chemokine ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]"	92494497	"ENSMUST00000201176"	"ENSMUST00000201176.2"
