"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Gene.stable.ID.version"	"Gene.name"	"Gene.type"	"Gene.end..bp."	"Gene.description"	"Gene.start..bp."	"Transcript.stable.ID"	"Transcript.stable.ID.version"
"ENSMUSG00000031451"	2453.99137174803	2.95672281362515	0.198144451799816	14.9220570486238	2.36857356646724e-50	4.34917478274714e-46	"ENSMUSG00000031451.7"	"Gas6"	"protein_coding"	13544490	"growth arrest specific 6 [Source:MGI Symbol;Acc:MGI:95660]"	13515374	"ENSMUST00000033828"	"ENSMUST00000033828.7"
"ENSMUSG00000026489"	371.472347136799	-3.64411404446976	0.277180798023452	-13.1470652745629	1.76908402604493e-39	1.62419604431185e-35	"ENSMUSG00000026489.14"	"Coq8a"	"protein_coding"	180027167	"coenzyme Q8A [Source:MGI Symbol;Acc:MGI:1914676]"	179992803	"ENSMUST00000027766"	"ENSMUST00000027766.13"
"ENSMUSG00000034394"	680.994941320242	-3.11963852853741	0.240544837393352	-12.9690520999875	1.8328287399169e-38	1.1218133774118e-34	"ENSMUSG00000034394.15"	"Lif"	"protein_coding"	4222514	"leukemia inhibitory factor [Source:MGI Symbol;Acc:MGI:96787]"	4207557	"ENSMUST00000066283"	"ENSMUST00000066283.12"
"ENSMUSG00000040152"	10491.3354459266	-2.73316095756758	0.234403135321779	-11.6600870283395	2.0383394506202e-31	9.35699724807203e-28	"ENSMUSG00000040152.9"	"Thbs1"	"protein_coding"	117957614	"thrombospondin 1 [Source:MGI Symbol;Acc:MGI:98737]"	117942357	"ENSMUST00000039559"	"ENSMUST00000039559.9"
"ENSMUSG00000040026"	31489.4507221187	-4.16892505926743	0.362274164480795	-11.507652126511	1.20720361215183e-30	4.43333454526639e-27	"ENSMUSG00000040026.9"	"Saa3"	"protein_coding"	46365124	"serum amyloid A 3 [Source:MGI Symbol;Acc:MGI:98223]"	46361422	"ENSMUST00000006956"	"ENSMUST00000006956.9"
"ENSMUSG00000035042"	3202.65028179435	-2.68348781204053	0.235682410227372	-11.3860334738246	4.90828526882157e-30	1.50209890176836e-26	"ENSMUSG00000035042.3"	"Ccl5"	"protein_coding"	83421344	"C-C motif chemokine ligand 5 [Source:MGI Symbol;Acc:MGI:98262]"	83416604	"ENSMUST00000035938"	"ENSMUST00000035938.3"
"ENSMUSG00000041324"	347.480773900859	-3.6326836768317	0.320657579215223	-11.3288564259804	9.44295500893317e-30	2.47702199820044e-26	"ENSMUSG00000041324.15"	"Inhba"	"protein_coding"	16206206	"inhibin beta-A [Source:MGI Symbol;Acc:MGI:96570]"	16186436	"ENSMUST00000042603"	"ENSMUST00000042603.14"
"ENSMUSG00000001131"	1363.19431390375	-2.62063451038518	0.232582164177955	-11.2675643880417	1.89746219676017e-29	4.35515010711378e-26	"ENSMUSG00000001131.12"	"Timp1"	"protein_coding"	20740974	"tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]"	20736405	"ENSMUST00000115342"	"ENSMUST00000115342.10"
"ENSMUSG00000047592"	214.489088741696	4.59840253831629	0.414564352954029	11.0921320310099	1.36983441565609e-28	2.79476661558634e-25	"ENSMUSG00000047592.18"	"Nxpe5"	"protein_coding"	138251625	"neurexophilin and PC-esterase domain family, member 5 [Source:MGI Symbol;Acc:MGI:3584036]"	138224160	"ENSMUST00000162519"	"ENSMUST00000162519.2"
"ENSMUSG00000026548"	973.618458509296	-3.50333984318273	0.324824093648631	-10.7853447810198	4.03726528835915e-27	7.41322652248508e-24	"ENSMUSG00000026548.5"	"Slamf9"	"protein_coding"	172306142	"SLAM family member 9 [Source:MGI Symbol;Acc:MGI:1923692]"	172302925	"ENSMUST00000027830"	"ENSMUST00000027830.5"
"ENSMUSG00000079652"	108.149456044367	-5.81358691079965	0.568815315234014	-10.2205175477877	1.60481746417104e-24	2.67887802519169e-21	"ENSMUSG00000079652.9"	"Garin1a"	"protein_coding"	29290679	"golgi associated RAB2 interactor 1A [Source:MGI Symbol;Acc:MGI:2141439]"	29279592	"ENSMUST00000167131"	"ENSMUST00000167131.8"
"ENSMUSG00000023951"	1165.15016372319	-3.29785423717067	0.32425061403923	-10.1706954262596	2.67988426772385e-24	4.10066957699544e-21	"ENSMUSG00000023951.19"	"Vegfa"	"protein_coding"	46343295	"vascular endothelial growth factor A [Source:MGI Symbol;Acc:MGI:103178]"	46327919	"ENSMUST00000024747"	"ENSMUST00000024747.14"
"ENSMUSG00000021508"	792.920476325648	-2.99353063596969	0.295856116028772	-10.1181975757384	4.58786273289643e-24	6.48017965395725e-21	"ENSMUSG00000021508.12"	"Cxcl14"	"protein_coding"	56444364	"C-X-C motif chemokine ligand 14 [Source:MGI Symbol;Acc:MGI:1888514]"	56436456	"ENSMUST00000224801"	"ENSMUST00000224801.2"
"ENSMUSG00000038457"	207.009641212349	2.96310714310101	0.294745991513615	10.0530871612011	8.90336504791131e-24	1.1677399214982e-20	"ENSMUSG00000038457.18"	"Tmem255b"	"protein_coding"	13518473	"transmembrane protein 255B [Source:MGI Symbol;Acc:MGI:2685533]"	13485189	"ENSMUST00000211356"	"ENSMUST00000211356.2"
"ENSMUSG00000041571"	623.174538265348	-2.17111928742431	0.219914669542227	-9.87255325869663	5.47528451172027e-23	6.7024782802805e-20	"ENSMUSG00000041571.11"	"Selenow"	"protein_coding"	15656327	"selenoprotein W [Source:MGI Symbol;Acc:MGI:1100878]"	15651133	"ENSMUST00000044355"	"ENSMUST00000044355.11"
"ENSMUSG00000021250"	290.131016841894	-3.5716446912431	0.364951722986699	-9.78662235655007	1.2851743170753e-22	1.47489817563354e-19	"ENSMUSG00000021250.14"	"Fos"	"protein_coding"	85524047	"FBJ osteosarcoma oncogene [Source:MGI Symbol;Acc:MGI:95574]"	85520664	"ENSMUST00000021674"	"ENSMUST00000021674.7"
"ENSMUSG00000099398"	376.548905766549	-2.62616834004685	0.271798384739323	-9.66219259384326	4.36421579175741e-22	4.71386649224997e-19	"ENSMUSG00000099398.2"	"Ms4a14"	"protein_coding"	11291818	"membrane-spanning 4-domains, subfamily A, member 14 [Source:MGI Symbol;Acc:MGI:2686122]"	11278613	"ENSMUST00000187467"	"ENSMUST00000187467.2"
"ENSMUSG00000101859"	632.281777534998	-2.68370370200427	0.279839284179599	-9.59016068766774	8.79479344983447e-22	8.97166651810336e-19	"ENSMUSG00000101859.2"	"Gm29233"	"lncRNA"	117954528	"predicted gene 29233 [Source:MGI Symbol;Acc:MGI:5579939]"	117953932	"ENSMUST00000190311"	"ENSMUST00000190311.2"
"ENSMUSG00000012428"	205.161215542409	5.39367847757619	0.574004573997304	9.39657752204867	5.63667298379831e-21	5.44739943834235e-18	"ENSMUSG00000012428.10"	"Steap4"	"protein_coding"	8032213	"STEAP family member 4 [Source:MGI Symbol;Acc:MGI:1923560]"	8010457	"ENSMUST00000115421"	"ENSMUST00000115421.3"
"ENSMUSG00000038393"	453.762889046713	-2.66560635516106	0.284176477041115	-9.38010908895671	6.59045057507142e-21	5.94267772752883e-18	"ENSMUSG00000038393.15"	"Txnip"	"protein_coding"	96469199	"thioredoxin interacting protein [Source:MGI Symbol;Acc:MGI:1889549]"	96465273	"ENSMUST00000074519"	"ENSMUST00000074519.13"
"ENSMUSG00000045817"	806.038755642471	-2.36853187448535	0.252593190903741	-9.37686350930956	6.79644005435712e-21	5.94267772752883e-18	"ENSMUSG00000045817.9"	"Zfp36l2"	"protein_coding"	84495375	"zinc finger protein 36, C3H type-like 2 [Source:MGI Symbol;Acc:MGI:107945]"	84491359	"ENSMUST00000060366"	"ENSMUST00000060366.7"
"ENSMUSG00000026712"	2756.55109140463	4.87571429873711	0.530737828486876	9.18667190661289	4.05183320226602e-20	3.38180733000039e-17	"ENSMUSG00000026712.4"	"Mrc1"	"protein_coding"	14336868	"mannose receptor, C type 1 [Source:MGI Symbol;Acc:MGI:97142]"	14234203	"ENSMUST00000028045"	"ENSMUST00000028045.4"
"ENSMUSG00000029377"	210.449294475846	-4.00675863961294	0.437074853357109	-9.16721382810656	4.85402286626913e-20	3.87519860306234e-17	"ENSMUSG00000029377.6"	"Ereg"	"protein_coding"	91241505	"epiregulin [Source:MGI Symbol;Acc:MGI:107508]"	91222481	"ENSMUST00000031324"	"ENSMUST00000031324.6"
"ENSMUSG00000007817"	635.348905219459	-2.37678059809491	0.260171472626754	-9.13543892456141	6.51419820796266e-20	4.9839044789421e-17	"ENSMUSG00000007817.16"	"Zmiz1"	"protein_coding"	25667167	"zinc finger, MIZ-type containing 1 [Source:MGI Symbol;Acc:MGI:3040693]"	25459609	"ENSMUST00000161766"	"ENSMUST00000161766.8"
"ENSMUSG00000019929"	685.292190042807	-6.07072896678088	0.668383040933682	-9.08270945699119	1.05905030561837e-19	7.77851268470582e-17	"ENSMUSG00000019929.17"	"Dcn"	"protein_coding"	97354005	"decorin [Source:MGI Symbol;Acc:MGI:94872]"	97315471	"ENSMUST00000105287"	"ENSMUST00000105287.11"
"ENSMUSG00000031129"	1233.92317113037	3.11163807978174	0.349835441690877	8.89457644640606	5.86425297544456e-19	4.14151588981204e-16	"ENSMUSG00000031129.10"	"Slc9a9"	"protein_coding"	95112498	"solute carrier family 9 (sodium/hydrogen exchanger), member 9 [Source:MGI Symbol;Acc:MGI:2679732]"	94551962	"ENSMUST00000033463"	"ENSMUST00000033463.10"
"ENSMUSG00000056515"	872.526579144991	1.89865498467922	0.213640842867284	8.88713487176554	6.27048756036699e-19	4.26439602160958e-16	"ENSMUSG00000056515.10"	"Rab31"	"protein_coding"	66079747	"RAB31, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914603]"	65958724	"ENSMUST00000070673"	"ENSMUST00000070673.9"
"ENSMUSG00000024164"	4485.23858050529	-2.19961792744168	0.251639250010201	-8.74115594984688	2.30737249188328e-18	1.46096461020554e-15	"ENSMUSG00000024164.16"	"C3"	"protein_coding"	57535136	"complement component 3 [Source:MGI Symbol;Acc:MGI:88227]"	57510970	"ENSMUST00000024988"	"ENSMUST00000024988.15"
"ENSMUSG00000026390"	6445.12778176482	-3.55595540291295	0.406753413084932	-8.74228780514362	2.28436656675323e-18	1.46096461020554e-15	"ENSMUSG00000026390.8"	"Marco"	"protein_coding"	120432753	"macrophage receptor with collagenous structure [Source:MGI Symbol;Acc:MGI:1309998]"	120402267	"ENSMUST00000027639"	"ENSMUST00000027639.8"
"ENSMUSG00000136871"	198.041189462065	-3.61807974721879	0.416359108196714	-8.6898056893459	3.63059915865939e-18	2.22216872504346e-15	"ENSMUSG00000136871.1"	"Gm70814"	"lncRNA"	172303198	"predicted gene, 70814 [Source:MGI Symbol;Acc:MGI:7824417]"	172301549	"ENSMUST00000337989"	"ENSMUST00000337989.1"
"ENSMUSG00000041936"	285.925573389801	-3.36011767063643	0.391198204058155	-8.58929728147964	8.75028451511671e-18	5.18299110537332e-15	"ENSMUSG00000041936.19"	"Agrn"	"protein_coding"	156281945	"agrin [Source:MGI Symbol;Acc:MGI:87961]"	156249747	"ENSMUST00000154494"	"ENSMUST00000154494.8"
"ENSMUSG00000024423"	385.388270519435	-2.49223673550606	0.292200175794041	-8.52921025366776	1.47350166279817e-17	8.45513672884373e-15	"ENSMUSG00000024423.7"	"Impact"	"protein_coding"	13126007	"impact, RWD domain protein [Source:MGI Symbol;Acc:MGI:1098233]"	13088909	"ENSMUST00000234763"	"ENSMUST00000234763.2"
"ENSMUSG00000002083"	119.042780579752	-2.80550064075558	0.331996661456922	-8.45038811066359	2.90336042186257e-17	1.61550012321941e-14	"ENSMUSG00000002083.14"	"Bbc3"	"protein_coding"	16052130	"BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667]"	16042318	"ENSMUST00000209688"	"ENSMUST00000209688.2"
"ENSMUSG00000003420"	1182.5562196567	2.32571832501855	0.276851037981377	8.40061262538953	4.44155321055031e-17	2.39870000153308e-14	"ENSMUSG00000003420.9"	"Fcgrt"	"protein_coding"	44753275	"Fc fragment of IgG receptor and transporter [Source:MGI Symbol;Acc:MGI:103017]"	44742414	"ENSMUST00000003512"	"ENSMUST00000003512.9"
"ENSMUSG00000058624"	653.979471152947	2.57682635123816	0.309145489559631	8.33531925343234	7.72893614501146e-17	4.05482072842001e-14	"ENSMUSG00000058624.14"	"Gda"	"protein_coding"	21450809	"guanine deaminase [Source:MGI Symbol;Acc:MGI:95678]"	21368671	"ENSMUST00000087600"	"ENSMUST00000087600.10"
"ENSMUSG00000004730"	32252.5487177118	-1.8273993861641	0.219823853791708	-8.31301678431874	9.32993169176146e-17	4.75878349233678e-14	"ENSMUSG00000004730.16"	"Adgre1"	"protein_coding"	57790527	"adhesion G protein-coupled receptor E1 [Source:MGI Symbol;Acc:MGI:106912]"	57665691	"ENSMUST00000086763"	"ENSMUST00000086763.13"
"ENSMUSG00000068747"	516.500674540268	3.30404792196915	0.397972363662556	8.30220443339797	1.0219715561993e-16	5.07174100403556e-14	"ENSMUSG00000068747.15"	"Sort1"	"protein_coding"	108268827	"sortilin 1 [Source:MGI Symbol;Acc:MGI:1338015]"	108191398	"ENSMUST00000135636"	"ENSMUST00000135636.6"
"ENSMUSG00000070873"	129.466881805076	4.39678373293041	0.529863585694027	8.29795413695283	1.05919548862916e-16	5.11814409531805e-14	"ENSMUSG00000070873.6"	"Lilra5"	"protein_coding"	4246462	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5 [Source:MGI Symbol;Acc:MGI:3647196]"	4240753	"ENSMUST00000117550"	"ENSMUST00000117550.2"
"ENSMUSG00000029657"	409.116059263686	-2.23877545781418	0.269909246744021	-8.29454894495488	1.08997993008935e-16	5.13184909648736e-14	"ENSMUSG00000029657.16"	"Hsph1"	"protein_coding"	149559841	"heat shock 105kDa/110kDa protein 1 [Source:MGI Symbol;Acc:MGI:105053]"	149537752	"ENSMUST00000201452"	"ENSMUST00000201452.4"
"ENSMUSG00000038776"	659.313999724705	3.40952728147858	0.41122940762836	8.29105900072172	1.12244586616263e-16	5.15258774861956e-14	"ENSMUSG00000038776.14"	"Ephx1"	"protein_coding"	180848469	"epoxide hydrolase 1, microsomal [Source:MGI Symbol;Acc:MGI:95405]"	180803775	"ENSMUST00000154133"	"ENSMUST00000154133.8"
"ENSMUSG00000051495"	429.232851488774	-4.16582735215877	0.505891049751197	-8.23463343383435	1.80108265558572e-16	8.06621456630852e-14	"ENSMUSG00000051495.9"	"Irf2bp2"	"protein_coding"	127320725	"interferon regulatory factor 2 binding protein 2 [Source:MGI Symbol;Acc:MGI:2443921]"	127315035	"ENSMUST00000054960"	"ENSMUST00000054960.9"
"ENSMUSG00000022912"	372.988942544809	2.02452113298556	0.246559297871498	8.21109222188287	2.19185450823053e-16	9.58257916193549e-14	"ENSMUSG00000022912.9"	"Pros1"	"protein_coding"	62749709	"protein S (alpha) [Source:MGI Symbol;Acc:MGI:1095733]"	62674670	"ENSMUST00000023629"	"ENSMUST00000023629.9"
"ENSMUSG00000028278"	168.291493770218	-2.88955044191704	0.352862763257571	-8.18887891496736	2.63670642439377e-16	1.12593496197019e-13	"ENSMUSG00000028278.15"	"Rragd"	"protein_coding"	33022180	"Ras-related GTP binding D [Source:MGI Symbol;Acc:MGI:1098604]"	32983037	"ENSMUST00000098190"	"ENSMUST00000098190.10"
"ENSMUSG00000026580"	113.882207036276	4.4795963496717	0.550452991976164	8.13801798694859	4.01801162346488e-16	1.67678930522868e-13	"ENSMUSG00000026580.17"	"Selp"	"protein_coding"	163977595	"selectin, platelet [Source:MGI Symbol;Acc:MGI:98280]"	163942833	"ENSMUST00000162746"	"ENSMUST00000162746.2"
"ENSMUSG00000025498"	8923.334447453	-2.06797743451159	0.25699776870868	-8.04667466531879	8.50739389836132e-16	3.42785128422147e-13	"ENSMUSG00000025498.16"	"Irf7"	"protein_coding"	140846394	"interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]"	140842619	"ENSMUST00000106023"	"ENSMUST00000106023.8"
"ENSMUSG00000085586"	182.771183020496	-3.35715570294074	0.417269726216723	-8.04552904755205	8.58736298192939e-16	3.42785128422147e-13	"ENSMUSG00000085586.4"	"Gm11613"	"lncRNA"	97551193	"predicted gene 11613 [Source:MGI Symbol;Acc:MGI:3651819]"	97535010	"ENSMUST00000134427"	"ENSMUST00000134427.2"
"ENSMUSG00000000058"	483.484150890287	2.21993647450637	0.276592563058413	8.0260164986343	1.00688686853134e-15	3.93371418722818e-13	"ENSMUSG00000000058.7"	"Cav2"	"protein_coding"	17289114	"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"	17281184	"ENSMUST00000000058"	"ENSMUST00000000058.7"
"ENSMUSG00000030655"	378.755139713126	-2.27453672487566	0.283529869649079	-8.02221200782415	1.03857685213491e-15	3.96567578588989e-13	"ENSMUSG00000030655.16"	"Smg1"	"protein_coding"	117842893	"SMG1 nonsense mediated mRNA decay associated PI3K related kinase [Source:MGI Symbol;Acc:MGI:1919742]"	117730531	"ENSMUST00000032891"	"ENSMUST00000032891.15"
"ENSMUSG00000086503"	658.320535231118	-5.41453208950772	0.675136612882727	-8.01990587710615	1.05826224544497e-15	3.96567578588989e-13	"ENSMUSG00000086503.6"	"Xist"	"lncRNA"	102537573	"inactive X specific transcripts [Source:MGI Symbol;Acc:MGI:98974]"	102503972	"ENSMUST00000127786"	"ENSMUST00000127786.4"
"ENSMUSG00000015568"	11235.2142581835	2.08089557514373	0.260495389907934	7.98822419037502	1.36896332949621e-15	5.02738093124187e-13	"ENSMUSG00000015568.17"	"Lpl"	"protein_coding"	69360100	"lipoprotein lipase [Source:MGI Symbol;Acc:MGI:96820]"	69333143	"ENSMUST00000015712"	"ENSMUST00000015712.15"
"ENSMUSG00000006611"	296.174613322626	2.00910163417872	0.252473304081715	7.95767949204029	1.75295721085577e-15	6.31133339328112e-13	"ENSMUSG00000006611.16"	"Hfe"	"protein_coding"	23894837	"homeostatic iron regulator [Source:MGI Symbol;Acc:MGI:109191]"	23886017	"ENSMUST00000151243"	"ENSMUST00000151243.2"
"ENSMUSG00000091191"	604.301938383092	3.80193234543527	0.47979317729175	7.92410673052029	2.2979219064508e-15	8.11431577812492e-13	"ENSMUSG00000091191.4"	"Gm17334"	"TEC"	53664021	"predicted gene, 17334 [Source:MGI Symbol;Acc:MGI:4936968]"	53660878	"ENSMUST00000238260"	"ENSMUST00000238260.3"
"ENSMUSG00000018899"	3893.55865535028	3.76778645487542	0.475910299648853	7.91700969206899	2.43290789552253e-15	8.42887825992165e-13	"ENSMUSG00000018899.18"	"Irf1"	"protein_coding"	53669200	"interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]"	53660841	"ENSMUST00000108920"	"ENSMUST00000108920.10"
"ENSMUSG00000041992"	248.686921105606	-2.89330432691242	0.366157358821402	-7.90180575975717	2.74891562980298e-15	9.34733125823007e-13	"ENSMUSG00000041992.10"	"Rapgef5"	"protein_coding"	117723472	"Rap guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:2444365]"	117480099	"ENSMUST00000109691"	"ENSMUST00000109691.4"
